name,frequency
Gamma,72.93
Gamma,98.8
Gamma,76.76
Gamma,75.61
Gamma,90.37
Gamma,91.25
Gamma,88.99
Gamma,73.88
Gamma,95.66
Gamma,98.58
Gamma,99.1
Gamma,85.65
Gamma,93.86
Gamma,85.75
Gamma,88.79
Gamma,87.34
Gamma,94.71
Gamma,96.93
Gamma,80.78
Gamma,76.56
Gamma,99.86
Gamma,85.61
Gamma,76.44
Gamma,88.55
Gamma,82.63
Gamma,83.86
Gamma,98.31
Gamma,98.66
Gamma,99.08
Gamma,84.08
Gamma,89.08
Gamma,98.71
Gamma,86.89
Gamma,77.01
Gamma,84.45
Gamma,98.85
Gamma,77.97
Gamma,81.97
Gamma,99.29
Gamma,80.7
Gamma,76.87
Gamma,91.99
Gamma,75.95
Gamma,76.9
Gamma,94.83
Gamma,78.64
Gamma,91.56
Gamma,84.52
Gamma,79.94
Gamma,88.8
Gamma,98.94
Gamma,75.0
Gamma,86.97
Gamma,96.9
Gamma,98.84
Gamma,81.44
Gamma,86.32
Gamma,89.66
Gamma,96.89
Gamma,74.67
Gamma,75.4
Gamma,98.09
Gamma,78.1
Gamma,93.1
Gamma,85.82
Gamma,75.43
Gamma,73.43
Gamma,97.17
Gamma,80.99
Gamma,84.13
Gamma,86.89
Gamma,76.16
Gamma,85.7
Gamma,88.64
Gamma,94.8
Gamma,99.09
Gamma,77.55
Gamma,76.62
Gamma,98.19
Gamma,79.22
Gamma,73.82
Gamma,90.38
Gamma,80.27
Gamma,76.14
Gamma,96.78
Gamma,86.33
Gamma,97.64
Gamma,76.58
Gamma,74.16
Gamma,75.78
Gamma,87.49
Gamma,80.66
Gamma,96.65
Gamma,79.08
Gamma,83.42
Gamma,74.74
Gamma,74.95
Gamma,94.76
Gamma,99.48
Gamma,82.11
Gamma,78.39
Gamma,90.62
